type,probability,text,group,mimic,theme
Chair,0.75,Стул покрыт пылью.,4,0,dusty
Chair,0.75,Ножки стула искривлены. Так быть не должно.,5,1,
Chair,1,"Стул наполнен водой? Помощник пишет, что он протекает, но я не вижу где.",6,1,humid
Chair,1,"Пыль собралась на ножках стула так плотно, что больше похоже на мех. А вот сидушка чистая.",7,1,dusty
Table,0.75,Надежный столик. Назван в честь жещнин-дизайнеров.,0,0,
Table,0.75,"Кошмар. Этот стол ""поддержанный"" в полном смысле этого слова. Того гляди, развалится.",0,0,
Table,0.75,"Стол покрыт пятнами. Видимо, от еды.",1,0,
Table,0.75,"Я раньше разрабатывал игры, сидя за столом, похожим на этот. Мы тогда много гейм джемов вместе провели.",2,0,
Table,0.75,"Похоже, что стол протирали несколько раз, но безуспешно. Я вижу на нем несколько слоев пыли. Как будто в фотошопе.",3,0,dusty
Table,0.75,"Помощник говорит стол ""цельный"". Без Гвоздей или шурупов. Просто цельный кусок какого-то материала.",4,1,
Table,1,"Хотя большинство вещей в этой комнате мокрые, сам стол сухой.",5,1,humid
Table,1,Помощник говорит что даже внутри шкафа - пыль.,6,1,dusty
Chandelier,0.75,Довольно милая и хорошо выглядящая люстра.,0,0,
Chandelier,0.75,"Вряд ли люстра упадет. Но если упадет, это будет ужасно.",1,0,
Chandelier,0.75,"Люстры названы в честь планет. Хотя я считаю, что Плутон - не планета.",2,0,
Chandelier,0.75,"""Торы"" люстры покрыты каплями.",3,0,humid
Chandelier,1,"Помощник сообщает, что внутри люстры находится жидкость.",4,1,humid
Chandelier,1,"Несмотря на то, что вся комната покрыта пылью, люстра висит чистая, как будто бы её только что купили.",5,1,dusty
Bed,0.75,"Люди, что давали имена кроватям, имеют странное чувство юмора. Тем не менее кровати достаточно прочные. Значит ли это, что человеческий грех внутри нас так прочно собран?",0,0,
Bed,0.75,На этой кровати отпечатался силуэт лежащего человека.,1,0,
Bed,0.75,Мокрая. Почему здесь всё покрыто каплями.,2,0,humid
Bed,0.75,Покрыто некоторым количеством пыли.,3,0,dusty
Bed,1,"Если приглядеться, кровать не мокрая. Она просто покрыта какой-то влажной пленкой.",4,1,humid
Bed,1,Пыль на поверхности кровати собралась в шарики.,5,1,dusty
Sofa,0.75,Королевская серия. Дорогая и удобаня мебель.,0,0,
Sofa,0.75,"Диван выглядит старым, но довольно удобным.",1,0,
Sofa,0.75,"В народе гуляют грязыне шутки про отдых на ""королевской особе"".",2,0,
Sofa,0.75,"Как и на все остальное здесь, пыль ""предъявила"" свои права на диван.",3,0,dusty
Sofa,1,"Диван похож на губку. Кажется, что сядешь на его и из него начнет течь вода.",4,1,humid
Sofa,1,Пылью покрыты только ручки дивана.,5,1,dusty
Armchair,0.75,"Кресло из ""математической"" серии. Создано для ученых и прочих умников.",0,0,
Armchair,0.75,"А вот у меня такого кресла дома нет. Я предпочитаю ""индустриальный"" дизайн.",1,0,
Armchair,0.75,Иногда я просто хочу сесть в крсло и проспать несколько дней подряд.,2,0,
Armchair,0.75,Покрыто пылью.,3,0,dusty
Armchair,1,Это единственная сухая мебель в этой комнате.,4,1,humid
Armchair,1,Пылью покрыты только ручки и спинка кресла.,5,1,dusty
Clock,0.75,Серия названа в честь самых великих прокрастинационных ресурсов нашей планеты.,0,0,
Clock,0.75,"Люди продолжают вешать часы на стены, хотя гораздо проще спросить Помощника о времени.",1,0,
Clock,0.75,"Люди говорят, что раньше были маленькие версии часов, которые носили на руках.",2,0,
Clock,0.75,С каждым тиком с часов капает маленкьая капля воды.,3,0,humid
Clock,0.75,С каждым тиком с часов спадает слой пыли.,4,0,dusty
Clock,1,Под часами на стене находится огромный подтек.,5,1,humid
Clock,1,"Хотя прям видно как пыль спадает с часов с каждым тиком, они всё равно остаются ею покрыты.",6,1,dusty
Book,0.75,Моя любимая. Прочитал несколько раз.,0,0,
Book,0.75,"Никогда не было достаточно времени, чтобы прочитать эту книгу.",0,0,
Book,0.75,Недавно начал её читать. Довольно интересная.,0,0,
Book,0.75,Одна из многих книжек в этом доме.,1,0,
Book,0.75,Эта книга выглядит довольно старой,2,0,
Book,0.75,"Такая жалость, что это книга теперь испорчена из-за огромной влажности в комнате.",3,0,humid
Book,0.75,Толстый слой пыли покрывает эту книгу.,4,0,dusty
Book,0.75,"Помощник подсказывает, что эта книга не зарегестрирована в домашней библиотеке.",5,1,
Book,1,"Книга лежит в луже, но при этом выглядит сухой.",6,1,humid
Book,1,"Пыль, покрывающая эту книгу, лежит странными треугольными узорами.",7,1,dusty
Note1,1,"22/08 Итак, список дел на сегодня:
 - Помыть посуду;
 - Заказать несколько консерв. Желательно, овощных, Помощник говорит, мне нужно больше витаминов;
 - Бить в баклуши.",0,0,
Note2,1,"23/08 Сегодня была доставка. Консервы, книжки, распечатанные фотографии и так далее. Сложил все в шкаф. Получил сообщение от Главы. Говорит следующая доставка будет через неделю. Ну и фиг с ним, доживу.",0,0,
Note3,1,24/08 Я забыл куда подевал банку с фасолью. Точно была где-то в шкафу. Может быть я съел её и забыл? Надо не забыть добавить её в список доставки. И вообще в целом заняться созданием нормальной организации продуктов питания.,0,0,
Note4,1,"25/08 Плохой денек. Подскользнулся на какой-то луже и повредил ногу.
Что-то душно стало внутри, поэтому я решил открыть окно. Но рука соскользнула, я отступил назад, подскользнулся и упал. Результат - поврежденная нога и поврежденное самолюбие.",0,0,humid
Note4,1,"25/08 Здесь действительно пыльно. Я должен выделить один день и убраться. В любом случае, я сделаю это позже.
Я думаю, что я получил пищевое отравление. Должно быть, это старые консервы. Я чувствую себя плохо и придется отложить влажную уборку.",0,0,dusty
Note5,1,"26/08 Я потерял связь с Главой. Технически, всё в порядке, но Помощник выдает помехи и белый шум в ответ на мой запрос соединения.
Я лишь хотел попросить доставить лекарств. Что-то мне плохо. Попрошу лекарств со следующей доставкой.",0,0,
Note6,1,"27/08 Нога болит как черти что. А еще здесь душно и влажно, словно я попал в какие-то тропики. Просто хочу спать.",0,0,humid
Note6,1,"27/08 Не могу есть, чувствую себя очень плохо. Плюс еще кашель замучил. Очень сильный кашель.",0,0,dusty
Note7,1,"28/08 Помощник активировал изоляцию. Похоже я попал в карантин. Надеюсь, кто-нибудь приедет и поможет мне.",0,0,
